Source,Target,Result,Prompt
L Ögonbesvär,R T10 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Ögonbesvär causes discomfort related to R T10 Radikulopati.

### Response:
"
R Skinkbesvär,L T7 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Skinkbesvär causes discomfort related to L T7 Radikulopati.

### Response:
"
R L3 Radikulopati,Ryggsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L3 Radikulopati causes discomfort related to Ryggsbesvär.

### Response:
"
R L4 Radikulopati,R Knäbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L4 Radikulopati causes discomfort related to R Knäbesvär.

### Response:
"
DLS C8-T1,L T1 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C8-T1 causes discomfort related to L T1 Radikulopati.

### Response:
"
L L5 Radikulopati,L Ischias,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L5 Radikulopati causes discomfort related to L Ischias.

### Response:
"
L C7 Radikulopati,L Fotledsbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C7 Radikulopati causes discomfort related to L Fotledsbesvär.

### Response:
"
R L5 Radikulopati,R Vadbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L5 Radikulopati causes discomfort related to R Vadbesvär.

### Response:
"
L T8 Radikulopati,L Armbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L T8 Radikulopati causes discomfort related to L Armbesvär.

### Response:
"
L C8 Radikulopati,L Skulderbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C8 Radikulopati causes discomfort related to L Skulderbesvär.

### Response:
"
L Bröstbesvär,R C6 Radikulopati,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Bröstbesvär causes discomfort related to R C6 Radikulopati.

### Response:
"
L L4 Radikulopati,L Bakhuvudvärk,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L4 Radikulopati causes discomfort related to L Bakhuvudvärk.

### Response:
"
R C6 Radikulopati,R Tåledbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C6 Radikulopati causes discomfort related to R Tåledbesvär.

### Response:
"
R Armbågsbesvär,L Övre armsbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Armbågsbesvär causes discomfort related to L Övre armsbesvär.

### Response:
"
L C4 Radikulopati,L Axel impingement,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C4 Radikulopati causes discomfort related to L Axel impingement.

### Response:
"
DLS C5-C6,L Nackbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C5-C6 causes discomfort related to L Nackbesvär.

### Response:
"
L L1 Radikulopati,IBS,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L1 Radikulopati causes discomfort related to IBS.

### Response:
"
Coccydyni,L PFS,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where Coccydyni causes discomfort related to L PFS.

### Response:
"
DLS C5-C6,L C6 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C5-C6 causes discomfort related to L C6 Radikulopati.

### Response:
"
R T8 Radikulopati,Bukbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T8 Radikulopati causes discomfort related to Bukbesvär.

### Response:
"
L Axelbesvär,R Under armsbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Axelbesvär causes discomfort related to R Under armsbesvär.

### Response:
"
L C4 Radikulopati,L Central bröstsmärta,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C4 Radikulopati causes discomfort related to L Central bröstsmärta.

### Response:
"
L C6 Radikulopati,L Axel impingement,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C6 Radikulopati causes discomfort related to L Axel impingement.

### Response:
"
R C6 Radikulopati,R Armbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C6 Radikulopati causes discomfort related to R Armbesvär.

### Response:
"
L T4 Radikulopati,Torakal Dysfunktion,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L T4 Radikulopati causes discomfort related to Torakal Dysfunktion.

### Response:
"
DLS L4-L5,L L5 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS L4-L5 causes discomfort related to L L5 Radikulopati.

### Response:
"
R Handbesvär,R PFS,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Handbesvär causes discomfort related to R PFS.

### Response:
"
L C2 Radikulopati,L Tinnitus,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C2 Radikulopati causes discomfort related to L Tinnitus.

### Response:
"
L Skinkbesvär,L Tårbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Skinkbesvär causes discomfort related to L Tårbesvär.

### Response:
"
R C4 Radikulopati,R Främre Axelbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C4 Radikulopati causes discomfort related to R Främre Axelbesvär.

### Response:
"
R L5 Radikulopati,R Höftbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L5 Radikulopati causes discomfort related to R Höftbesvär.

### Response:
"
R L1 Radikulopati,Nedre bukbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L1 Radikulopati causes discomfort related to Nedre bukbesvär.

### Response:
"
L C8 Radikulopati,L Armbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C8 Radikulopati causes discomfort related to L Armbesvär.

### Response:
"
R C8 Radikulopati,R Under armsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C8 Radikulopati causes discomfort related to R Under armsbesvär.

### Response:
"
DLS C4-C5,DLS T10-T11,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C4-C5 causes discomfort related to DLS T10-T11.

### Response:
"
L Interskapulära besvär,Nackbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Interskapulära besvär causes discomfort related to Nackbesvär.

### Response:
"
L C8 Radikulopati,L Fingerbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C8 Radikulopati causes discomfort related to L Fingerbesvär.

### Response:
"
R C5 Radikulopati,R Axel impingement,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C5 Radikulopati causes discomfort related to R Axel impingement.

### Response:
"
L C6 Radikulopati,L Armbågsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C6 Radikulopati causes discomfort related to L Armbågsbesvär.

### Response:
"
L C2 Radikulopati,Nackbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C2 Radikulopati causes discomfort related to Nackbesvär.

### Response:
"
R C7 Radikulopati,R Skulderbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C7 Radikulopati causes discomfort related to R Skulderbesvär.

### Response:
"
L L2 Radikulopati,IBS,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L2 Radikulopati causes discomfort related to IBS.

### Response:
"
L C7 Radikulopati,DLS T8-T9,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C7 Radikulopati causes discomfort related to DLS T8-T9.

### Response:
"
L C7 Radikulopati,L Armbågsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C7 Radikulopati causes discomfort related to L Armbågsbesvär.

### Response:
"
R L5 Radikulopati,R Lumbago,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L5 Radikulopati causes discomfort related to R Lumbago.

### Response:
"
R L2 Radikulopati,Ryggsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L2 Radikulopati causes discomfort related to Ryggsbesvär.

### Response:
"
L T4 Radikulopati,L Bröstbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L T4 Radikulopati causes discomfort related to L Bröstbesvär.

### Response:
"
R Knäbesvär,L Laterala armsbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Knäbesvär causes discomfort related to L Laterala armsbesvär.

### Response:
"
L L3 Radikulopati,L Främre lårbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L3 Radikulopati causes discomfort related to L Främre lårbesvär.

### Response:
"
L L5 Radikulopati,L Tåledbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L5 Radikulopati causes discomfort related to L Tåledbesvär.

### Response:
"
L C6 Radikulopati,L Handledsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C6 Radikulopati causes discomfort related to L Handledsbesvär.

### Response:
"
R C8 Radikulopati,R Axelbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C8 Radikulopati causes discomfort related to R Axelbesvär.

### Response:
"
L L1 Radikulopati,Centrala Ljumskbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L1 Radikulopati causes discomfort related to Centrala Ljumskbesvär.

### Response:
"
R Mortonbesvär,R Laterala knäbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Mortonbesvär causes discomfort related to R Laterala knäbesvär.

### Response:
"
L L1 Radikulopati,Bukbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L1 Radikulopati causes discomfort related to Bukbesvär.

### Response:
"
L T6 Radikulopati,Bukbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L T6 Radikulopati causes discomfort related to Bukbesvär.

### Response:
"
R L2 Radikulopati,IBS,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L2 Radikulopati causes discomfort related to IBS.

### Response:
"
Centrala Ljumskbesvär,IBS,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where Centrala Ljumskbesvär causes discomfort related to IBS.

### Response:
"
L C2 Radikulopati,L Nackbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C2 Radikulopati causes discomfort related to L Nackbesvär.

### Response:
"
L C2 Radikulopati,DLS T7-T8,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L C2 Radikulopati causes discomfort related to DLS T7-T8.

### Response:
"
R C8 Radikulopati,R Armbågsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C8 Radikulopati causes discomfort related to R Armbågsbesvär.

### Response:
"
R L4 Radikulopati,R Främre knäbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L4 Radikulopati causes discomfort related to R Främre knäbesvär.

### Response:
"
L Främre lårbesvär,R Främre knäbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Främre lårbesvär causes discomfort related to R Främre knäbesvär.

### Response:
"
L S1 Radikulopati,L Hälbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L S1 Radikulopati causes discomfort related to L Hälbesvär.

### Response:
"
L T10 Radikulopati,Bukbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L T10 Radikulopati causes discomfort related to Bukbesvär.

### Response:
"
DLS T1-T2,L T2 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS T1-T2 causes discomfort related to L T2 Radikulopati.

### Response:
"
L L4 Radikulopati,L Knäbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L4 Radikulopati causes discomfort related to L Knäbesvär.

### Response:
"
L L4 Radikulopati,L Laterala vadbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L L4 Radikulopati causes discomfort related to L Laterala vadbesvär.

### Response:
"
R Handledsbesvär,R Fotledsbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Handledsbesvär causes discomfort related to R Fotledsbesvär.

### Response:
"
Centrala Ljumskbesvär,Huvudvärk,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where Centrala Ljumskbesvär causes discomfort related to Huvudvärk.

### Response:
"
R C5 Radikulopati,R Lumbago,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C5 Radikulopati causes discomfort related to R Lumbago.

### Response:
"
R Främre lårbesvär,L Lilltåbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R Främre lårbesvär causes discomfort related to L Lilltåbesvär.

### Response:
"
R L3 Radikulopati,R Lumbago,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L3 Radikulopati causes discomfort related to R Lumbago.

### Response:
"
DLS C4-C5,L Övre armbågsbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS C4-C5 causes discomfort related to L Övre armbågsbesvär.

### Response:
"
L Knäbesvär,R Achillestendalgi,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Knäbesvär causes discomfort related to R Achillestendalgi.

### Response:
"
L Höftkamsbesvär,L Fotbesvär,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Höftkamsbesvär causes discomfort related to L Fotbesvär.

### Response:
"
R C3 Radikulopati,R Bakhuvudvärk,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C3 Radikulopati causes discomfort related to R Bakhuvudvärk.

### Response:
"
R C2 Radikulopati,Pannhuvudvärk,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C2 Radikulopati causes discomfort related to Pannhuvudvärk.

### Response:
"
L Hälbesvär,Torakal Dysfunktion,False,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where L Hälbesvär causes discomfort related to Torakal Dysfunktion.

### Response:
"
DLS T11-T12,R T12 Radikulopati,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where DLS T11-T12 causes discomfort related to R T12 Radikulopati.

### Response:
"
R C4 Radikulopati,R Axelbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R C4 Radikulopati causes discomfort related to R Axelbesvär.

### Response:
"
R T4 Radikulopati,Bröstbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R T4 Radikulopati causes discomfort related to Bröstbesvär.

### Response:
"
R S1 Radikulopati,R Lårbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R S1 Radikulopati causes discomfort related to R Lårbesvär.

### Response:
"
R L5 Radikulopati,R Fotvalvsbesvär,True,"Below is an instruction that describes a task, paired with an input that provides further context. Write a response that appropriately completes the request.

### Instruction:
Is the following statement true or false? Only provide true or false, do not include any additional explanation.'

### Input:
In the context of diagnosing neuropathic pain, consider the causal relationships where R L5 Radikulopati causes discomfort related to R Fotvalvsbesvär.

### Response:
"
